Subregion,suma_poblacion,cantidad_paises,n_paises_independientes,pais_max_poblacion,pais_max_poblacion_nombre
Australia and New Zealand,30776259,5,2,25687041,Australia
Caribbean,43851771,28,13,11402533,Haiti
Central America,49680199,7,7,16858333,Guatemala
Central Asia,75146919,5,5,34232050,Uzbekistan
Central Europe,74875619,6,6,37950802,Poland
Eastern Africa,421051358,19,16,114963583,Ethiopia
Eastern Asia,1640439098,8,5,1402112000,China
Eastern Europe,200255454,4,4,144104080,Russia
Melanesia,11109459,5,4,8947027,Papua New Guinea
Micronesia,548927,7,5,168783,Guam
Middle Africa,209774079,10,10,108407721,DR Congo
North America,496548753,7,3,329484123,United States
Northern Africa,246994848,7,6,102334403,Egypt
Northern Europe,106028503,16,10,67215293,United Kingdom
Polynesia,684787,10,3,280904,French Polynesia
South America,430895697,14,12,212559409,Brazil
South-Eastern Asia,668455318,11,11,273523621,Indonesia
Southeast Europe,47761621,9,9,19286123,Romania
Southern Africa,82366574,6,6,59308690,South Africa
Southern Asia,1942165248,9,9,1380004385,India
Southern Europe,129804694,10,9,59554023,Italy
Western Africa,401908376,17,16,206139587,Nigeria
Western Asia,278388391,17,16,84339067,Turkey
Western Europe,188208181,8,8,83240525,Germany
