Nombre_comun,Nombre_oficial,Pais_independiente,Moneda_nombre,Moneda_simbolo,Capital,Region,Subregion,Continente,Lenguaje,Url_googe_maps,Poblacion,Gini_valor,Gini_year
Jordan,Hashemite Kingdom of Jordan,True,Jordanian dinar,JOD,Amman,Asia,Western Asia,Asia,Arabic,https://goo.gl/maps/ko1dzSDKg8Gsi9A98,10203140,33.7,2010
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,False,United States dollar,USD,Saipan,Oceania,Micronesia,Oceania,Carolinian,https://goo.gl/maps/cpZ67knoRAcfu1417,57557,,
Serbia,Republic of Serbia,True,Serbian dinar,RSD,Belgrade,Europe,Southeast Europe,Europe,Serbian,https://goo.gl/maps/2Aqof7aV2Naq8YEK8,6908224,36.2,2017
Andorra,Principality of Andorra,True,Euro,EUR,Andorra la Vella,Europe,Southern Europe,Europe,Catalan,https://goo.gl/maps/JqAnacWE2qEznKgw7,77265,,
Turks and Caicos Islands,Turks and Caicos Islands,False,United States dollar,USD,Cockburn Town,Americas,Caribbean,North America,English,https://goo.gl/maps/R8VUDQfwZiFtvmyn8,38718,,
Bermuda,Bermuda,False,Bermudian dollar,BMD,Hamilton,Americas,North America,North America,English,https://goo.gl/maps/NLsRGNjTzDghTtAJA,63903,,
Antarctica,Antarctica,False,,,,Antarctic,,Antarctica,,https://goo.gl/maps/kyBuJriu4itiXank7,1000,,
Bolivia,Plurinational State of Bolivia,True,Bolivian boliviano,BOB,Sucre,Americas,South America,South America,Aymara,https://goo.gl/maps/9DfnyfbxNM2g5U9b9,11673029,41.6,2019
Libya,State of Libya,True,Libyan dinar,LYD,Tripoli,Africa,Northern Africa,Africa,Arabic,https://goo.gl/maps/eLgGnaQWcJEdYRMy5,6871287,,
Mali,Republic of Mali,True,West African CFA franc,XOF,Bamako,Africa,Western Africa,Africa,French,https://goo.gl/maps/u9mYJkCB19wyuzh27,20250834,33.0,2009
Armenia,Republic of Armenia,True,Armenian dram,AMD,Yerevan,Asia,Western Asia,Asia,Armenian,https://goo.gl/maps/azWUtK9bUQYEyccbA,2963234,29.9,2019
